public_transport,city,address1,address2
Triangle Arts Association,New York,Triangle Arts Association,"20 Jay Street, New York, NY 11201, United States of America"
Henry Street Playhouse,New York,Henry Street Playhouse,"466 Grand Street, New York, NY 10002, United States of America"
Downing Street Playground,New York,Downing Street Playground,"Downing Street, New York, NY 10014, United States of America"
Abrons Arts Center,New York,Abrons Arts Center,"466 Grand Street, New York, NY 10002, United States of America"
La MaMa Galleria,New York,La MaMa Galleria,"47 Great Jones Street, New York, NY 10012, United States of America"
Eric Firestone Gallery,New York,Eric Firestone Gallery,"40 Great Jones Street, New York, NY 10012, United States of America"
Angel Orensanz Foundation,New York,Angel Orensanz Foundation,"172 Norfolk Street, New York, NY 10002, United States of America"
Fortnight Institute,New York,Fortnight Institute,"21 East 3rd Street, New York, NY 10003, United States of America"
Morgan Presents,New York,Morgan Presents,"155 Suffolk Street, New York, NY 10002, United States of America"
Space 776,New York,Space 776,"37 Clinton Street, New York, NY 10002, United States of America"
Minetta Lane Theatre,New York,Minetta Lane Theatre,"6th Avenue, New York, NY 10014, United States of America"
Undercurrent,New York,Undercurrent,"70 John Street, New York, NY 11201, United States of America"
Comedy Cellar,New York,Comedy Cellar,"117 Minetta Lane, New York, NY 10012, United States of America"
trotter&sholer,New York,trotter&sholer,"168 Suffolk Street, New York, NY 10002, United States of America"
Spencer Brownstone Gallery,New York,Spencer Brownstone Gallery,"170-A Suffolk Street, New York, NY 10002, United States of America"
Rachel Uffner,New York,Rachel Uffner,"170 Suffolk Street, New York, NY 10002, United States of America"
La MaMa,New York,La MaMa,"66 East 4th Street, New York, NY 10003, United States of America"
Minetta Playground,New York,Minetta Playground,"6th Avenue, New York, NY 10014, United States of America"
Merchant's House Museum,New York,Merchant's House Museum,"29 East 4th Street, New York, NY 10003, United States of America"
Loop of the Loom,New York,Loop of the Loom,"197 Plymouth Street, New York, NY 11201, United States of America"
Skirball Center for the Performing Arts,New York,Skirball Center for the Performing Arts,"566 LaGuardia Place, New York, NY 10012, United States of America"
Caveat,New York,Caveat,"21 Clinton Street, New York, NY 10002, United States of America"
The 4th Street Photo Gallery,New York,The 4th Street Photo Gallery,"67 East 4th Street, New York, NY 10003, United States of America"
New York Theatre Workshop,New York,New York Theatre Workshop,"79 East 4th Street, New York, NY 10003, United States of America"
Art Clinic,New York,Art Clinic,"106 Ridge Street, New York, NY 10002, United States of America"
New York Comedy Club,New York,New York Comedy Club,"85 East 4th Street, New York, NY 10003, United States of America"
Kraine Theater,New York,Kraine Theater,"85 East 4th Street, New York, NY 10003, United States of America"
Cherry Lane Theater,New York,Cherry Lane Theater,"38 Commerce Street, New York, NY 10014, United States of America"
Hashimoto Contemporary,New York,Hashimoto Contemporary,"210 Rivington Street, New York, NY 10002, United States of America"
IFC Center,New York,IFC Center,"323 6th Avenue, New York, NY 10014, United States of America"
Grey Art Gallery,New York,Grey Art Gallery,"Washington Square East, New York, NY 10012, United States of America"
Public Theater,New York,Public Theater,"425 Lafayette Street, New York, NY 10003, United States of America"
The Ukrainian Museum,New York,The Ukrainian Museum,"220 East 6th Street, New York, NY 10003, United States of America"
Karma Gallery,New York,Karma Gallery,"188 East 2nd Street, New York, NY 10009, United States of America"
Greenwich House Music School,New York,Greenwich House Music School,"46 Barrow Street, New York, NY 10014, United States of America"
Renee Weiler Concert Hall,New York,Renee Weiler Concert Hall,"46 Barrow Street, New York, NY 10014, United States of America"
Astor Place Theatre,New York,Astor Place Theatre,"434 Lafayette Street, New York, NY 10003, United States of America"
Wild Project,New York,Wild Project,"195 East 3rd Street, New York, NY 10009, United States of America"
MARCH,New York,MARCH,"64 Avenue A, New York, NY 10009, United States of America"
Astor Place Opera House,New York,Astor Place Opera House,"Astor Place, New York, NY 10003, United States of America"
Arts on Site,New York,Arts on Site,"12 Saint Mark's Place, New York, NY 10003, United States of America"
St. Mark's Comedy Club,New York,St. Mark's Comedy Club,"12 Saint Mark's Place, New York, NY 10003, United States of America"
Barcade,New York,Barcade,"6 Saint Mark's Place, New York, NY 10003, United States of America"
Heights Players,New York,Heights Players,"26 Willow Place, New York, NY 11201, United States of America"
Orpheum Theatre,New York,Orpheum Theatre,"126 2nd Avenue, New York, NY 10003, United States of America"
Swiss Institute of Contemporary Art,New York,Swiss Institute of Contemporary Art,"Saint Mark's Place, New York, NY 10003, United States of America"
Sixth Street Haunted House,New York,Sixth Street Haunted House,"516 East 6th Street, New York, NY 10009, United States of America"
Museum of the American Gangster,New York,Museum of the American Gangster,"78 Saint Mark's Place, New York, NY 10003, United States of America"
Theatre 80,New York,Theatre 80,"78 Saint Mark's Place, New York, NY 10003, United States of America"
The Trust for Governors Island,New York,The Trust for Governors Island,"110 Andes Road, New York, NY 10004, United States of America"
LMCC’s Arts Center at Governors Island,New York,LMCC’s Arts Center at Governors Island,"110 Andes Road, New York, NY 10004, United States of America"
Under St. Mark's Theater,New York,Under St. Mark's Theater,"94 Saint Mark's Place, New York, NY 10009, United States of America"
Pershing Hall;New York City Police Museum,New York,Pershing Hall;New York City Police Museum,"125 Carder Road, New York, NY 10004, United States of America"
FIGMENT Mini Golf,New York,FIGMENT Mini Golf,"Andes Road, New York, NY 10004, United States of America"
Performance Space 122,New York,Performance Space 122,"159 1st Avenue, New York, NY 10009, United States of America"
Theater for the New City,New York,Theater for the New City,"155 1st Avenue, New York, NY 10003, United States of America"
AMC Loews Village 7,New York,AMC Loews Village 7,"66 3rd Avenue, New York, NY 10003, United States of America"
Commanding Officer's Quarters,New York,Commanding Officer's Quarters,"1 Barry Road, New York, NY 10004, United States of America"
Salmagundi Club,New York,Salmagundi Club,"47 5th Avenue, New York, NY 10003, United States of America"
A.I.R. Gallery,New York,A.I.R. Gallery,"4 Barry Road, New York, NY 10004, United States of America"
Village East Cinema,New York,Village East Cinema,"181-189 2nd Avenue, New York, NY 10003, United States of America"
Museum of Russian Art,Jersey City,Museum of Russian Art,"80 Grand Street, Jersey City, NJ 07304, United States of America"
Escaping Time: Art from U.S. Prisons,New York,Escaping Time: Art from U.S. Prisons,"6 Barry Road, New York, NY 10004, United States of America"
Theresa Byrnes,New York,Theresa Byrnes,"616 East 9th Street, New York, NY 10009, United States of America"
The Battle for the Ballot: The Centennial of Women's Suffrage in New York,New York,The Battle for the Ballot: The Centennial of Women's Suffrage in New York,"18 Evans Road, New York, NY 10004, United States of America"
Classic Stage Company,New York,Classic Stage Company,"136 East 13th Street, New York, NY 10003, United States of America"
Regal Union Square Stadium 14,New York,Regal Union Square Stadium 14,"1320 Broadway, New York, NY 10003, United States of America"
The Dysfunctional Collective House,New York,The Dysfunctional Collective House,"8 Barry Road, New York, NY 10004, United States of America"
Variety Arts Theatre,New York,Variety Arts Theatre,"East 13th Street, New York, NY 10009, United States of America"
Quad Cinema,New York,Quad Cinema,"34 West 13th Street, New York, NY 10011, United States of America"
Thirteenth Street Theater,New York,Thirteenth Street Theater,"50 West 13th Street, New York, NY 10011, United States of America"
Tenri Institute,New York,Tenri Institute,"43A West 13th Street, New York, NY 10011, United States of America"
Museum of Reclaimed Urban Space,New York,Museum of Reclaimed Urban Space,"155 Avenue C, New York, NY 10009, United States of America"
The HoloCenter,New York,The HoloCenter,"403 Comfort Road, New York, NY 10004, United States of America"
Flywire Zipline,New York,Flywire Zipline,"Short Avenue, New York, NY 10004, United States of America"
N/A,New York,Division Road,"New York, NY 10004, United States of America"
New York Transit Museum,New York,New York Transit Museum,"99 Schermerhorn Street, New York, NY 11201, United States of America"
Pier 51 Play Area,New York,Pier 51 Play Area,"Hudson River Park Esplanade, New York, NY 10014, United States of America"
Daryl Roth Theater,New York,Daryl Roth Theater,"East 15th Street, New York, NY 10003, United States of America"
Irving Plaza,New York,Irving Plaza,"17 Irving Place, New York, NY 10003, United States of America"
The Stand,New York,The Stand,"116 East 16th Street, New York, NY 10003, United States of America"
Whitney Museum of American Art,New York,Whitney Museum of American Art,"99 Gansevoort Street, New York, NY 10014, United States of America"
Yeshiva University Museum,New York,Yeshiva University Museum,"West 16th Street, New York, NY 10011, United States of America"
Museum of Illusions,New York,Museum of Illusions,"77 8th Avenue, New York, NY 10011, United States of America"
Small Editions,New York,Small Editions,"60 Sackett Street, New York, NY 11231, United States of America"
Brooklyn Ballet,New York,Brooklyn Ballet,"160 Schermerhorn Street, New York, NY 11201, United States of America"
Clayworks on Columbia,New York,Clayworks on Columbia,"195 Columbia Street, New York, NY 11231, United States of America"
New York Magic Lab,New York,New York Magic Lab,"West 14th Street, New York, NY 10011, United States of America"
Creative Arts Studio,New York,Creative Arts Studio,"310 Atlantic Avenue, New York, NY 11201, United States of America"
310 Art,New York,310 Art,"310 Atlantic Avenue, New York, NY 11201, United States of America"
Invisible Dog Arts & Events Space,New York,Invisible Dog Arts & Events Space,"51 Bergen Street, New York, NY 11201, United States of America"
Rubin Museum of Art,New York,Rubin Museum of Art,"150 West 17th Street, New York, NY 10011, United States of America"
N/A,New York,East River Esplanade,"New York, NY 10009, United States of America"
AMC Newport 11,Jersey City,AMC Newport 11,"Mall Drive West, Jersey City, NJ 07310, United States of America"
Alamo Drafthouse Cinema - Brooklyn,New York,Alamo Drafthouse Cinema - Brooklyn,"445 Albee Square, New York, NY 11201, United States of America"
Mother Cabrini Park,New York,Mother Cabrini Park,"President Street, New York, NY 11231, United States of America"
Five Iron Golf,New York,Five Iron Golf,"138 5th Avenue, New York, NY 10011, United States of America"
Ground Zero Museum Workshop,New York,Ground Zero Museum Workshop,"West 14th Street, New York, NY 10014, United States of America"
Atlantic Bkln,New York,Atlantic Bkln,"333 Atlantic Avenue, New York, NY 11201, United States of America"
Ellis Island Immigration Museum,New York,Ellis Island Immigration Museum,"Ellis Island Bridge, New York, NJ 10004, United States of America"
AMC Loews 19th St. East 6,New York,AMC Loews 19th St. East 6,"East 19th Street, New York, NY 10003, United States of America"
Clover's,New York,Clover's,"338 Atlantic Avenue, New York, NY 11201, United States of America"
Atlantic Stage 2,New York,Atlantic Stage 2,"330 West 16th Street, New York, NY 10011, United States of America"
The Glade,New York,The Glade,"South Bridge, New York, NY 10014, United States of America"
Cobble Hill Cinemas,New York,Cobble Hill Cinemas,"265 Court Street, New York, NY 11231, United States of America"
The Amph,New York,The Amph,"North Bridge, New York, NY 10011, United States of America"
Collier West Annex,New York,Collier West Annex,"375 Atlantic Avenue, New York, NY 11217, United States of America"
N/A,New York,North 1st Street,"New York, NY 11211, United States of America"
Joyce Theatre,New York,Joyce Theatre,"West 18th Street, New York, NY 10011, United States of America"
Metaphor Projects,New York,Metaphor Projects,"382 Atlantic Avenue, New York, NY 11217, United States of America"
The Joyce Theater,New York,The Joyce Theater,"175 8th Avenue, New York, NY 10011, United States of America"
Fotografiska,New York,Fotografiska,"281 Park Avenue South, New York, NY 10010, United States of America"
Atlantic Theater,New York,Atlantic Theater,"West 20th Street, New York, NY 10011, United States of America"
Gramercy Theatre,New York,Gramercy Theatre,"127 East 23rd Street, New York, NY 10010, United States of America"
Vistor Center,New York,Vistor Center,"Washington Park, New York, NY 11205, United States of America"
Jalopy Theater and School of Music,New York,Jalopy Theater and School of Music,"315 Columbia Street, New York, NY 11231, United States of America"
Urban Glass,New York,Urban Glass,"647 Fulton Street, New York, NY 11217, United States of America"
Residency Unlimited,New York,Residency Unlimited,"360 Court Street, New York, NY 11231, United States of America"
BAM Strong,New York,BAM Strong,"Fulton Street, New York, NY 11207, United States of America"
Brooklyn Magic Shop,New York,Brooklyn Magic Shop,"281 Smith Street, New York, NY 11231, United States of America"
Poster House,New York,Poster House,"119 West 23rd Street, New York, NY 10011, United States of America"
BAM Harvey Theater,New York,BAM Harvey Theater,"651 Fulton Street, New York, NY 11217, United States of America"
The Rudin Family Gallery,New York,The Rudin Family Gallery,"653 Fulton Street, New York, NY 11217, United States of America"
Lisson Gallery,New York,Lisson Gallery,"138 10th Avenue, New York, NY 10011, United States of America"
Cinépolis Chelsea,New York,Cinépolis Chelsea,"260 West 23rd Street, New York, NY 10011, United States of America"
BAM 230 Ashland Place,New York,BAM 230 Ashland Place,"230 Ashland Place, New York, NY 11217, United States of America"
De-construkt,New York,De-construkt,"41 Seabring Street, New York, NY 11231, United States of America"
New York Comedy Club,New York,New York Comedy Club,"241 East 24th Street, New York, NY 10010, United States of America"
Amphitheater,Hoboken,Amphitheater,"Hoboken Newport Walkway- Hudson River Waterfront Walkway, Hoboken, NJ 07030, United States of America"
Hoboken Fire Department Museum,Hoboken,Hoboken Fire Department Museum,"213 Bloomfield Street, Hoboken, NJ 07030, United States of America"
Theater for a New Audience,New York,Theater for a New Audience,"95 Rockwell Place, New York, NY 11217, United States of America"
Eastville Comedy Club & Bar,New York,Eastville Comedy Club & Bar,"487 Atlantic Avenue, New York, NY 11217, United States of America"
Red Hook Labs,New York,Red Hook Labs,"133 Imlay Street, New York, NY 11231, United States of America"
Spectacle Theater,New York,Spectacle Theater,"124 South 3rd Street, New York, NY 11249, United States of America"
Polonsky Shakespeare Center,New York,Polonsky Shakespeare Center,"262 Ashland Place, New York, NY 11217, United States of America"
Mark Morris Dance Center,New York,Mark Morris Dance Center,"3 Rockwell Place, New York, NY 11217, United States of America"
Police Officer Moira Ann Smith Playground,New York,Police Officer Moira Ann Smith Playground,"Madison Avenue, New York, NY 10037, United States of America"
Court Tree Collective,New York,Court Tree Collective,"371 Court Street, New York, NY 11231, United States of America"
Gumbo Creative Space,New York,Gumbo Creative Space,"495 Atlantic Avenue, New York, NY 11217, United States of America"
David Zwirner,New York,David Zwirner,"527 West 19th Street, New York, NY 10011, United States of America"
Nitehawk Cinema,New York,Nitehawk Cinema,"136 Metropolitan Avenue, New York, NY 11249, United States of America"
Roulette,New York,Roulette,"509 Atlantic Avenue, New York, NY 11217, United States of America"
TW Fine Art,New York,TW Fine Art,"514 Atlantic Avenue, New York, NY 11217, United States of America"
SVA Theater,New York,SVA Theater,"333 West 23rd Street, New York, NY 10011, United States of America"
Holographic Studios,New York,Holographic Studios,"240 East 26th Street, New York, NY 10010, United States of America"
National Museum of Mathematics,New York,National Museum of Mathematics,"11 East 26th Street, New York, NY 10010, United States of America"
Nohra Haime Gallery,New York,Nohra Haime Gallery,"500A West 21st Street, New York, NY 10011, United States of America"
Pioneer Works,New York,Pioneer Works,"Pioneer Street, New York, NY 11231, United States of America"
BAM Peter Jay Sharp Building,New York,BAM Peter Jay Sharp Building,"30 Lafayette Avenue, New York, NY 11217, United States of America"
BAM Howard Gilman Opera House,New York,BAM Howard Gilman Opera House,"30 Lafayette Avenue, New York, NY 11217, United States of America"
N/A,New York,103 North 3rd Street,"New York, NY 11249, United States of America"
BAM Rose Cinemas,New York,BAM Rose Cinemas,"30 Lafayette Avenue, New York, NY 11217, United States of America"
Repertorio Español,New York,Repertorio Español,"138 East 27th Street, New York, NY 10016, United States of America"
The Column Theater,New York,The Column Theater,"345 Dean Street, New York, NY 11217, United States of America"
BAM Fischer,New York,BAM Fischer,"321 Ashland Place, New York, NY 11217, United States of America"
Red Hook Art Project,New York,Red Hook Art Project,"291 Van Brunt Street, New York, NY 11231, United States of America"
Paula Cooper Gallery,New York,Paula Cooper Gallery,"525 West 21st Street, New York, NY 10011, United States of America"
The Fishman Space,New York,The Fishman Space,"321 Ashland Place, New York, NY 11217, United States of America"
Museum of Sex,New York,Museum of Sex,"223 5th Avenue, New York, NY 10016, United States of America"
National Sawdust,New York,National Sawdust,"80 North 6th Street, New York, NY 11249, United States of America"
The Robotic Church,New York,The Robotic Church,"111 Pioneer Street, New York, NY 11231, United States of America"
Penn South Playground,New York,Penn South Playground,"West 26th Street, New York, NY 10001, United States of America"
303 Gallery,New York,303 Gallery,"555 West 21st Street, New York, NY 10011, United States of America"
Verysweetlife Studio,New York,Verysweetlife Studio,"320 Dean Street, New York, NY 11217, United States of America"
Basin Gallery & Studios,New York,Basin Gallery & Studios,"344 Van Brunt Street, New York, NY 11231, United States of America"
The Museum at FIT,New York,The Museum at FIT,"West 27th Street, New York, NY 10001, United States of America"
The Cliffs at Gowanus,New York,The Cliffs at Gowanus,"242 Butler Street, New York, NY 11217, United States of America"
Peninsula,New York,Peninsula,"352 Van Brunt Street, New York, NY 11231, United States of America"
Williamsburg Cinemas,New York,Williamsburg Cinemas,"217 Grand Street, New York, NY 11211, United States of America"
Brindamour Studios,New York,Brindamour Studios,"487 Union Street, New York, NY 11231, United States of America"
The Fiberhouse,New York,The Fiberhouse,"72 Nelson Street, New York, NY 11231, United States of America"
Sunday Takeout,New York,Sunday Takeout,"29 Hanson Place, New York, NY 11217, United States of America"
HG Contemporary,New York,HG Contemporary,"527 West 23rd Street, New York, NY 10011, United States of America"
Escape,New York,Escape,"130 West 29th Street, New York, NY 10001, United States of America"
Gladstone Gallery,New York,Gladstone Gallery,"515 West 24th Street, New York, NY 10011, United States of America"
Art World ESPO,New York,Art World ESPO,"72 4th Avenue, New York, NY 11217, United States of America"
Bond Craft Studio,New York,Bond Craft Studio,"372 Bond Street, New York, NY 11231, United States of America"
Chelsea Waterside Play Area,New York,Chelsea Waterside Play Area,"11th Avenue, New York, NY 10011, United States of America"
Museum of Contemporary African Diasporan Arts,New York,Museum of Contemporary African Diasporan Arts,"80 Hanson Place, New York, NY 11217, United States of America"
Spoke the Hub Dancing,New York,Spoke the Hub Dancing,"298 Butler Street, New York, NY 11217, United States of America"
KoKo Gowanus,New York,KoKo Gowanus,"298 Butler Street, New York, NY 11217, United States of America"
Gagosian,New York,Gagosian,"555 West 24th Street, New York, NY 10011, United States of America"
Brooklyn Boulders,New York,Brooklyn Boulders,"575 Degraw Street, New York, NY 11217, United States of America"
Liberty Science Center,Jersey City,Liberty Science Center,"222 Jersey City Boulevard, Jersey City, NJ 07305, United States of America"
Pace Gallery,New York,Pace Gallery,"540 West 25th Street, New York, NY 10001, United States of America"
Magnet Theater,New York,Magnet Theater,"254 West 29th Street, New York, NY 10001, United States of America"
Hudson Guild Theatre,New York,Hudson Guild Theatre,"441 West 26th Street, New York, NY 10001, United States of America"
Chelsea Park,New York,Chelsea Park,"West 27th Drive, New York, NY 10001, United States of America"
Theater Mitu,New York,Theater Mitu,"580A Sackett Street, New York, NY 11217, United States of America"
IMAX Dome Theater,Jersey City,IMAX Dome Theater,"New Jersey Turnpike Newark Bay Extension, Jersey City, NJ 07302, United States of America"
